name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-11907,YES,0,1,5,38,57,4,10
GENE-11926,YES,0,749,789,582,122,127,165
GENE-11949,YES,0,10,10,10,118,144,159
GENE-12010,YES,0,40,19,35,1,1,0
GENE-12188,YES,0,45,58,47,51,77,82
GENE-12200,YES,0,2,0,2,35,36,26
GENE-12231,YES,0,18,37,10,4,4,3
GENE-12259,YES,0,161,114,127,387,341,475
GENE-12361,YES,0,102,129,130,657,809,780
GENE-12490,YES,0,107,112,87,1619,1375,1519
GENE-12661,YES,0,12,7,11,19,41,26
GENE-12668,YES,0,294,278,271,759,694,811
GENE-12700,YES,0,311,265,287,467,459,435
GENE-12842,YES,0,6,13,6,125,122,79
GENE-13045,YES,0,912,610,1291,2978,3085,3239
GENE-13062,YES,0,560,637,660,161,137,130
GENE-13157,YES,0,39,64,50,23,18,15
GENE-13228,YES,0,518,531,583,14,17,13
GENE-13273,YES,0,81,66,87,24,16,16
GENE-13372,YES,0,62,69,83,7,8,10
GENE-13424,YES,0,26,31,30,38,41,42
GENE-13644,YES,0,87,69,52,75,80,99
GENE-13750,YES,0,36,53,49,58,51,69
GENE-13757,YES,0,12,5,4,21,11,21
GENE-13795,YES,0,1437,755,386,351,140,369
GENE-13816,YES,0,1613,1525,1580,84,61,85
GENE-14040,YES,0,88,88,95,7,10,7
GENE-14071,YES,0,283,185,259,13266,13144,12711
GENE-14077,YES,0,70,59,68,332,370,465
GENE-14134,YES,0,1268,487,468,1419,2964,1830
GENE-14147,YES,0,259,219,296,106,68,95
GENE-14316,YES,0,0,3,7,21,22,43
GENE-14363,YES,0,113,76,157,4840,5202,4922
GENE-14443,YES,0,5675,5254,4650,8583,9511,11731
GENE-14554,YES,0,10,7,5,164,187,168
GENE-14562,YES,0,22284,20745,12135,3434,2253,3843
GENE-14599,YES,0,1171,1563,1564,534,607,604
GENE-14605,YES,0,137,89,139,31,20,26
GENE-14639,YES,0,733,681,533,429,552,483
GENE-14663,YES,0,376,445,462,545,167,232
GENE-14740,YES,0,2179,3249,3720,59,53,57
GENE-14907,YES,0,5197,4819,5574,4162,4423,4329
GENE-14996,YES,0,341,663,471,673,362,305
GENE-15145,YES,0,524,426,343,287,224,243
GENE-15161,YES,0,1201,651,852,41,63,28
GENE-15176,YES,0,81,102,139,9,14,16
GENE-15210,YES,0,9,3,9,357,348,347
GENE-15250,YES,0,55,44,33,14,16,23
GENE-15288,YES,0,85,62,80,85,91,81
GENE-15345,YES,0,650,648,589,200,137,220
GENE-15558,YES,0,668,733,556,53,44,40
GENE-15710,YES,0,17,30,26,76,42,61
GENE-15882,YES,0,96,117,154,50,34,28
GENE-15923,YES,0,294,253,270,654,344,505
GENE-15975,YES,0,232,218,263,908,1076,1054
GENE-15997,YES,0,2,16,16,186,226,359
GENE-16013,YES,0,485,437,544,82,135,91
GENE-16065,YES,0,59,46,49,111,62,95
GENE-16143,YES,0,1097,1184,1018,1486,790,758
GENE-16333,YES,0,1098,1084,960,2725,2478,2380
GENE-16397,YES,0,25,29,20,20,41,44
GENE-16453,YES,0,51,42,44,7,9,10
GENE-16515,YES,0,71,48,54,371,374,338
GENE-16567,YES,0,13,18,13,6,7,3
GENE-16580,YES,0,20,37,36,7,7,10
GENE-16712,YES,0,2380,2502,2574,83,57,79
GENE-16722,YES,0,63,97,51,43,41,65
GENE-16799,YES,0,181,226,234,55,56,38
GENE-16827,YES,0,31,30,50,1395,2170,3186
GENE-16876,YES,0,1325,1133,1216,9336,6871,9422
GENE-16997,YES,0,63,76,78,27,36,36
GENE-17006,YES,0,110,115,124,198,186,279
GENE-17008,YES,0,233,260,228,51,46,49
GENE-17019,YES,0,2,3,5,26,25,17
GENE-17054,YES,0,1230,1161,1177,236,333,368
GENE-17102,YES,0,671,809,598,437,369,404
GENE-17132,YES,0,147,120,121,308,287,248
GENE-17178,YES,0,21,25,10,6,6,9
GENE-17329,YES,0,1278,1536,1492,81,61,82
GENE-17465,YES,0,14,33,16,13,18,15
GENE-17522,YES,0,66,52,48,173,42,144
GENE-17530,YES,0,458,370,350,67,82,67
GENE-17549,YES,0,1044,1074,924,158,150,106
GENE-17617,YES,0,928,923,1437,8445,9306,7808
GENE-17728,YES,0,951,776,509,117,232,233
GENE-17751,YES,0,718,784,703,198,151,179
GENE-17755,YES,0,0,0,509,10,4,0
GENE-17800,YES,0,106,96,83,375,364,311
GENE-17826,YES,0,336,216,381,77,110,67
GENE-18027,YES,0,10,6,23,23,46,0
GENE-18089,YES,0,14,24,20,8,3,13
GENE-18301,YES,0,517,412,390,167,179,133
GENE-18349,YES,0,19,19,19,4,4,4
GENE-18552,YES,0,270,194,199,13,19,25
GENE-18684,YES,0,609,685,711,2131,1613,3334
GENE-18713,YES,0,49,42,21,14,8,7
GENE-18841,YES,0,62,91,61,88,78,101
GENE-18885,YES,0,98,83,105,771,831,881
GENE-18896,YES,0,14,22,21,8,9,10
GENE-19049,YES,0,23,19,33,61,55,42
GENE-19054,YES,0,4,9,3,35,35,76
GENE-19092,YES,0,244,211,204,36,21,34
GENE-19103,YES,0,150,83,104,12,27,10
GENE-19143,YES,0,135,178,148,55,58,46
GENE-19195,YES,0,13,13,12,12,9,16
GENE-19210,YES,0,271,197,219,125,115,95
GENE-19315,YES,0,286,387,194,148,100,140
GENE-19456,YES,0,192,189,201,200,186,191
GENE-19596,YES,0,1394,947,823,295,414,599
GENE-19606,YES,0,108,105,86,101,99,139
GENE-19617,YES,0,361,303,296,3475,3271,3429
GENE-19622,YES,0,269,256,256,3012,3586,2877
GENE-19762,YES,0,1181,1140,565,4336,3669,2545
GENE-1,NO,1,398,391,199,298,275,359
GENE-2,NO,1,0,0,0,0,0,0
GENE-3,NO,1,0,0,0,0,0,0
GENE-4,NO,1,28,34,8,24,30,27
GENE-5,YES,1,0,0,0,0,0,0
GENE-6,YES,1,0,0,0,0,0,0
GENE-7,NO,1,1,0,0,1,0,0
GENE-8,NO,1,0,0,0,0,0,0
GENE-9,NO,1,31,31,29,29,21,30
GENE-10,NO,1,0,0,0,0,0,0
GENE-11,NO,1,0,0,0,0,0,0
GENE-12,NO,1,0,0,0,0,0,0
GENE-13,NO,1,59,45,49,56,40,35
GENE-14,NO,1,21,28,33,19,23,25
GENE-15,NO,1,1,0,0,0,0,0
GENE-16,NO,1,5,4,6,10,5,5
GENE-17,YES,1,0,0,0,0,0,0
GENE-18,NO,1,0,0,0,0,0,0
GENE-19,NO,1,16,23,18,29,28,25
GENE-20,NO,1,0,0,0,0,0,0
GENE-21,YES,1,0,0,0,0,0,0
GENE-22,NO,1,15,27,23,28,27,28
GENE-23,NO,1,0,0,0,0,0,0
GENE-24,NO,1,0,0,0,0,0,0
GENE-25,NO,1,0,0,0,0,0,0
GENE-26,NO,1,0,0,0,0,0,0
GENE-27,NO,1,0,0,0,0,0,0
GENE-28,NO,1,236,154,301,235,249,237
GENE-29,NO,1,0,0,0,0,0,0
GENE-30,NO,1,0,0,0,0,0,0
GENE-31,NO,1,59,62,76,83,72,58
GENE-33,NO,1,189,205,223,199,194,219
GENE-34,NO,1,2,2,3,0,0,4
GENE-35,YES,1,0,0,0,0,0,0
GENE-36,NO,1,0,0,0,0,0,0
GENE-37,NO,1,37,33,39,45,30,43
GENE-38,NO,1,0,0,0,0,0,0
GENE-39,NO,1,0,0,0,0,0,0
GENE-40,NO,1,0,0,0,0,0,0
GENE-41,NO,1,42,34,41,46,34,30
GENE-42,NO,1,0,0,0,0,0,0
GENE-43,NO,1,0,0,0,0,0,0
GENE-44,YES,1,0,0,0,0,0,0
GENE-45,NO,1,0,0,0,0,0,0
GENE-46,NO,1,0,0,0,0,0,0
GENE-47,NO,1,8,19,17,13,9,14
GENE-48,NO,1,0,0,0,0,0,0
GENE-49,NO,1,126,90,148,93,116,96
GENE-50,NO,1,0,0,0,0,0,0
GENE-51,NO,1,0,0,0,0,0,0
GENE-52,NO,1,0,0,0,0,0,0
GENE-53,NO,1,0,0,0,0,0,0
GENE-54,NO,1,0,0,0,0,0,0
GENE-55,NO,1,0,0,0,0,0,0
GENE-56,NO,1,0,0,0,0,0,0
GENE-57,NO,1,0,0,0,0,0,0
GENE-58,NO,1,0,0,0,0,0,0
GENE-59,NO,1,757,389,297,386,572,645
GENE-60,NO,1,192,128,95,181,96,176
GENE-61,NO,1,970,1052,848,1097,896,1090
GENE-62,NO,1,0,0,0,0,0,0
GENE-63,YES,1,0,0,0,0,0,0
GENE-64,NO,1,24,16,21,28,29,36
GENE-65,NO,1,93,86,84,103,76,86
GENE-66,NO,1,0,0,0,0,0,0
GENE-67,NO,1,0,0,0,0,0,0
GENE-68,NO,1,0,0,0,0,0,0
GENE-69,NO,1,0,0,0,0,0,0
GENE-70,NO,1,0,0,0,0,0,0
GENE-71,NO,1,0,0,0,0,0,0
GENE-72,NO,1,0,0,0,0,0,0
GENE-73,NO,1,0,0,0,0,0,0
GENE-74,NO,1,0,0,0,0,0,0
GENE-75,NO,1,131,121,129,121,142,146
GENE-76,NO,1,0,0,0,0,0,0
GENE-77,NO,1,0,0,0,0,0,0
GENE-78,NO,1,0,0,0,0,0,0
GENE-79,NO,1,0,0,0,0,0,0
GENE-80,NO,1,1838,1658,1564,2164,2118,2196
GENE-81,NO,1,0,0,0,0,0,0
GENE-82,NO,1,0,0,0,0,0,0
GENE-83,NO,1,0,0,0,0,0,0
GENE-84,NO,1,2,3,9,5,4,1
GENE-85,NO,1,54,53,49,37,57,46
GENE-86,NO,1,2021,1383,1811,1426,1899,2031
GENE-87,NO,1,0,0,0,0,0,0
GENE-88,NO,1,0,0,0,0,0,0
GENE-89,NO,1,0,0,0,0,0,0
GENE-90,NO,1,0,0,0,0,0,0
GENE-91,NO,1,5,5,7,3,6,5
GENE-92,NO,1,0,0,0,0,0,0
GENE-93,NO,1,237,0,111,3,360,129
GENE-94,NO,1,0,0,0,0,0,0
GENE-95,NO,1,0,0,0,0,0,0
GENE-96,NO,1,0,0,0,0,0,0
GENE-97,NO,1,0,0,0,0,0,0
GENE-98,NO,1,0,0,0,0,0,0
GENE-99,NO,1,0,0,0,1,2,0
GENE-100,NO,1,0,0,0,0,0,0
GENE-101,NO,1,0,0,0,0,0,0
GENE-102,NO,1,0,0,0,0,0,0
GENE-103,NO,1,0,0,0,0,0,0
GENE-104,NO,1,1,0,1,0,0,0
GENE-105,NO,1,0,0,0,0,0,0
GENE-106,NO,1,1,3,4,2,2,7
GENE-107,YES,1,0,0,1,1,0,0
GENE-108,NO,1,191,358,318,282,300,326
GENE-109,YES,1,0,0,0,0,0,0
GENE-110,NO,1,63,80,63,51,93,100
GENE-111,NO,1,52,51,55,66,43,48
GENE-112,NO,1,0,0,0,0,0,0
GENE-113,NO,1,0,0,0,0,0,0
GENE-114,NO,1,0,0,0,0,0,0
GENE-115,NO,1,0,0,0,0,0,0
GENE-116,NO,1,662,535,734,837,578,651
GENE-117,NO,1,0,0,0,0,0,0
GENE-118,NO,1,0,0,0,0,0,0
GENE-119,NO,1,9,8,9,16,6,7
GENE-120,YES,1,0,0,0,0,0,0
GENE-121,NO,1,0,0,0,0,0,0
GENE-122,NO,1,0,0,0,0,0,0
GENE-123,NO,1,0,0,0,0,0,0
GENE-124,NO,1,0,0,0,0,0,0
GENE-125,NO,1,0,0,0,0,0,0
GENE-126,NO,1,498,467,358,470,471,504
GENE-127,NO,1,0,0,0,0,0,0
GENE-128,NO,1,0,0,0,0,0,0
GENE-129,NO,1,0,0,0,0,0,0
GENE-131,NO,1,59,50,42,49,50,39
GENE-132,NO,1,0,0,0,0,0,0
GENE-133,NO,1,103,72,194,164,127,334
GENE-134,NO,1,0,0,0,0,0,0
GENE-135,NO,1,0,0,0,0,0,0
GENE-136,NO,1,0,0,0,0,0,0
GENE-137,NO,1,0,0,0,0,0,0
GENE-138,NO,1,0,0,0,0,0,0
GENE-139,NO,1,199,235,200,169,237,221
GENE-140,NO,1,0,2,1,0,0,1
GENE-141,NO,1,0,0,0,0,0,0
GENE-142,NO,1,147,218,184,201,150,167
GENE-143,NO,1,0,0,0,0,0,0
GENE-144,NO,1,0,0,0,0,0,0
GENE-145,YES,1,0,0,0,0,0,0
GENE-146,NO,1,0,0,0,0,0,0
GENE-147,NO,1,13,13,17,24,12,13
GENE-148,NO,1,0,0,0,0,0,0
GENE-149,NO,1,0,0,0,0,0,0
GENE-150,NO,1,0,0,0,0,0,0
GENE-151,NO,1,0,0,0,0,0,0
GENE-152,NO,1,0,0,0,1,0,1
GENE-153,NO,1,0,0,0,0,0,0
GENE-154,NO,1,800,450,959,773,915,1050
GENE-155,NO,1,0,0,0,0,0,0
GENE-156,NO,1,1214,1388,1750,1394,1411,1787
GENE-157,NO,1,24,14,29,14,18,25
GENE-158,NO,1,0,0,0,0,0,0
GENE-159,NO,1,0,0,0,0,0,0
GENE-160,NO,1,0,0,0,0,0,0
GENE-161,NO,1,0,0,0,0,0,0
GENE-162,NO,1,13,15,6,8,7,5
GENE-163,NO,1,590,596,549,461,409,396
GENE-164,NO,1,0,0,0,0,0,0
GENE-165,NO,1,0,0,0,0,0,0
GENE-166,NO,1,0,0,0,0,0,0
GENE-167,NO,1,0,0,0,0,0,0
GENE-168,NO,1,0,0,0,0,0,0
GENE-169,NO,1,78,53,96,66,51,69
GENE-170,NO,1,10,8,5,6,11,10
GENE-171,NO,1,0,0,0,0,0,0
GENE-172,NO,1,6,4,6,0,4,1
GENE-173,NO,1,17,25,27,27,13,34
GENE-174,NO,1,0,0,0,0,0,0
GENE-175,NO,1,0,0,0,0,0,0
GENE-176,NO,1,434,517,475,449,502,482
GENE-177,NO,1,0,0,0,0,0,0
GENE-178,NO,1,0,0,0,0,0,0
GENE-179,NO,1,0,0,0,0,0,0
GENE-180,NO,1,0,0,0,0,0,0
GENE-181,NO,1,313,117,283,247,314,294
GENE-182,NO,1,0,0,0,0,0,0
GENE-183,NO,1,305,155,185,195,219,209
GENE-184,NO,1,0,0,0,0,0,0
GENE-185,NO,1,0,0,0,0,0,0
GENE-186,NO,1,0,0,0,0,0,0
GENE-187,NO,1,0,0,0,0,0,0
GENE-188,NO,1,724,775,657,552,596,796
GENE-189,NO,1,0,0,0,0,0,0
GENE-190,NO,1,0,0,0,0,0,0
GENE-191,NO,1,0,0,0,0,0,0
GENE-192,NO,1,0,0,0,0,0,0
GENE-193,NO,1,0,0,0,0,0,0
GENE-194,NO,1,0,0,0,0,0,0
GENE-195,NO,1,0,0,0,0,0,0
GENE-196,NO,1,10694,11187,10641,11534,9119,9125
GENE-197,NO,1,157,216,126,183,104,187
GENE-198,NO,1,0,0,0,0,0,0
GENE-199,NO,1,0,0,0,0,0,0
GENE-200,NO,1,0,0,0,0,0,0
GENE-201,NO,1,1194,1493,1021,770,984,1102
GENE-202,NO,1,128,279,485,199,237,344
GENE-203,NO,1,0,0,0,0,0,0
GENE-204,NO,1,0,0,0,0,0,0
GENE-205,NO,1,0,0,0,0,0,0
GENE-206,NO,1,0,0,0,0,0,0
GENE-207,NO,1,0,0,0,0,0,0
GENE-208,NO,1,0,0,0,0,0,0
GENE-209,NO,1,89,93,104,100,99,131
GENE-210,NO,1,0,0,0,0,0,0
GENE-211,NO,1,0,0,0,1,0,0
GENE-212,NO,1,0,0,0,0,0,0
GENE-213,NO,1,0,0,0,0,0,0
GENE-214,NO,1,607,750,923,699,785,558
GENE-215,NO,1,36,23,22,41,26,52
GENE-216,NO,1,257,445,118,212,140,316
GENE-217,NO,1,0,0,0,0,0,0
GENE-218,NO,1,0,0,0,0,0,0
GENE-219,NO,1,78,97,73,65,89,63
GENE-220,NO,1,0,0,0,0,0,0
GENE-221,NO,1,2,5,1,2,3,5
GENE-223,NO,1,0,0,0,0,0,0
GENE-224,NO,1,0,0,0,0,0,0
GENE-225,NO,1,0,0,0,0,0,0
GENE-226,NO,1,0,0,0,0,0,0
GENE-227,NO,1,0,0,0,0,0,0
GENE-228,NO,1,0,0,0,0,0,0
GENE-229,NO,1,0,0,0,0,0,0
GENE-230,NO,1,0,0,0,0,0,0
GENE-231,NO,1,0,0,0,0,0,0
GENE-232,NO,1,327,347,409,340,424,319
GENE-233,NO,1,0,0,0,0,0,0
GENE-234,NO,1,4,4,2,3,3,2
GENE-235,NO,1,0,0,0,0,0,0
GENE-236,NO,1,0,0,0,0,0,0
GENE-237,NO,1,0,0,0,0,0,0
GENE-238,NO,1,0,0,0,0,0,0
GENE-239,NO,1,0,0,0,0,0,0
GENE-240,NO,1,0,0,0,0,0,0
GENE-241,NO,1,0,0,0,0,0,0
GENE-242,NO,1,910,634,544,830,845,852
GENE-243,NO,1,0,0,0,0,0,0
GENE-244,NO,1,0,0,0,0,0,0
GENE-245,NO,1,0,0,0,0,0,0
GENE-246,YES,1,0,0,0,0,0,0
GENE-247,NO,1,0,0,0,0,0,0
GENE-248,NO,1,0,0,0,0,0,0
GENE-249,NO,1,331,220,333,357,431,358
GENE-250,NO,1,23,34,27,36,19,19
GENE-251,NO,1,0,0,0,0,0,0
GENE-252,NO,1,0,0,0,0,0,0
GENE-253,NO,1,0,0,0,0,0,0
GENE-254,NO,1,46,52,72,68,54,54
GENE-255,NO,1,74,42,34,48,8,14
GENE-257,NO,1,0,0,0,0,0,0
GENE-258,NO,1,0,0,0,0,0,0
GENE-259,NO,1,0,0,0,0,0,0
GENE-260,NO,1,0,0,0,0,0,0
GENE-261,NO,1,2,2,0,0,2,2
GENE-262,NO,1,0,0,0,0,0,0
GENE-263,NO,1,0,3,3,0,0,0
GENE-264,NO,1,0,0,0,0,0,0
GENE-265,YES,1,0,0,0,0,0,0
GENE-266,NO,1,474,446,464,405,423,437
GENE-267,NO,1,0,0,0,0,0,0
GENE-268,NO,1,0,0,0,0,0,0
GENE-269,NO,1,400,452,339,398,168,299
GENE-270,NO,1,0,0,0,0,0,0
GENE-271,NO,1,0,0,0,0,0,0
GENE-272,NO,1,0,0,0,0,0,0
GENE-273,NO,1,0,0,0,0,0,0
GENE-274,NO,1,140,114,101,111,103,111
GENE-275,NO,1,182,151,135,128,173,131
GENE-276,NO,1,0,0,0,0,0,0
GENE-277,NO,1,0,0,0,0,0,0
GENE-278,NO,1,147,139,152,156,134,152
GENE-279,NO,1,18,11,8,14,16,7
GENE-280,NO,1,253,145,259,366,350,203
GENE-281,NO,1,0,0,0,0,0,0
GENE-282,NO,1,0,0,0,0,0,0
GENE-283,NO,1,0,0,0,0,0,0
GENE-284,NO,1,0,0,0,0,0,0
GENE-285,NO,1,0,0,0,0,0,0
GENE-286,YES,1,0,0,0,0,0,0
GENE-287,NO,1,0,0,0,0,0,0
GENE-288,NO,1,414,500,430,455,406,490
GENE-289,NO,1,0,0,0,0,0,0
GENE-290,NO,1,0,0,0,0,0,0
GENE-291,NO,1,0,0,0,0,0,0
GENE-292,NO,1,0,0,0,0,0,0
GENE-293,NO,1,0,0,0,0,0,0
GENE-294,NO,1,0,0,0,0,0,0
GENE-295,NO,1,1,0,3,1,1,1
GENE-296,NO,1,0,0,0,0,0,0
GENE-297,NO,1,1,0,3,1,1,6
GENE-298,NO,1,0,0,0,0,0,0
GENE-299,NO,1,13,18,22,20,22,13
GENE-300,NO,1,0,0,0,0,0,0
GENE-301,NO,1,0,0,0,0,0,0
GENE-302,NO,1,0,0,0,0,0,0
GENE-303,NO,1,0,0,0,0,0,0
GENE-304,NO,1,0,0,0,0,0,0
GENE-305,NO,1,0,0,0,0,0,0
GENE-306,NO,1,115,97,108,122,95,109
GENE-307,NO,1,17886,19825,24920,23333,23053,17841
GENE-308,NO,1,1,1,1,3,0,0
GENE-309,NO,1,0,0,0,0,0,0
GENE-310,NO,1,0,0,0,0,0,0
GENE-311,NO,1,0,0,0,0,0,0
GENE-312,NO,1,0,0,0,0,0,0
GENE-313,NO,1,0,0,0,0,0,0
GENE-314,NO,1,3,6,8,5,2,7
GENE-315,NO,1,4,5,3,6,5,4
GENE-316,NO,1,0,0,0,0,0,0
GENE-317,NO,1,0,0,0,0,0,0
GENE-318,NO,1,34,26,34,30,31,29
GENE-319,NO,1,0,0,0,0,0,0
GENE-320,NO,1,0,0,0,0,0,0
GENE-321,NO,1,0,0,0,1,0,0
GENE-322,NO,1,0,0,0,0,0,0
GENE-323,NO,1,0,0,0,0,0,0
GENE-324,NO,1,1165,1267,981,1033,1312,952
GENE-325,NO,1,0,0,0,0,0,0
GENE-326,NO,1,49,57,39,42,48,44
GENE-327,NO,1,2,3,2,6,3,2
GENE-328,YES,1,0,0,0,2,4,0
GENE-329,NO,1,0,0,0,0,0,0
GENE-330,NO,1,0,0,0,0,0,0
GENE-331,NO,1,0,0,0,0,0,0
GENE-332,NO,1,0,0,0,0,0,0
GENE-333,NO,1,0,0,0,0,0,0
GENE-334,NO,1,0,0,0,0,0,0
GENE-335,NO,1,349,269,377,313,243,314
